Brand_KR,Brand_ENG,Logo,Since,Country,Info,개수
무신사 스탠다드,MUSINSASTANDARD,https://image.msscdn.net/mfile_s01/_brand/free_medium/musinsastandard.png?202403121141,SINCE 2017,한국,"무신사 스탠다드(MUSINSA STANDARD)는 대한민국을 대표하는 온라인 패션 스토어 무신사가 전개하는 자체상표(Private Brand)이며, 모던 베이식 캐주얼웨어를 지향합니다. 단순한 유통구조의 효율적인 운영으로 좋은 품질의 제품을 합리적인 가격에 선보입니다. 가치소비 시대의 새로운 기준을 제시합니다.",7742
엘무드,LMOOD,https://image.msscdn.net/mfile_s01/_brand/free_medium/lmood.png?202402131034,SINCE 2016,한국,엘무드(LMOOD)는 미니멀과 컴포트를 중점으로 이 시대 트렌드를 반영한 컨템포러리 감성 브랜드입니다.,423
라퍼지스토어,LAFUDGESTORE,https://image.msscdn.net/mfile_s01/_brand/free_medium/lafudgestore.png?202402291348,SINCE 2017,한국,"라퍼지스토어(LAFUDGESTORE)는 다양한 사람들이 일상에서 편안하게 사용할 수 있는 제품을 전개합니다. 새롭게 변화되는 소재와 실루엣, 일상에 자연스레 스며드는 제품을 제작하여 지속적인 실속형 소비의 가치를 실천합니다.",316
토피,TOFFEE,https://image.msscdn.net/mfile_s01/_brand/free_medium/toffee.png?202402131031,SINCE 2015,한국,토피(TOFFEE)는 트렌디한 스타일의 아이템을 절제된 디테일과 다양한 컬러로 표현하며 합리적인 가격으로 선보이는 브랜드입니다.,690
트릴리온,TRILLION,https://image.msscdn.net/mfile_s01/_brand/free_medium/trillion.png?202403060901,SINCE 2017,한국,"트릴리온(TRILLION)은 클래식, 빈티지, 아웃도어, 어반 등의 스타일을 베이스로 트릴리온만의 컨템포러리 감성을 더해 높은 퀄리티의 제품을 합리적인 가격에 제시합니다. 단 하나의 제품에도 만족감을 느낄 수 있는 가치를 추구합니다.",819
드로우핏,DRAWFIT,https://image.msscdn.net/mfile_s01/_brand/free_medium/drawfit.png?202402131031,SINCE 2014,한국,드로우핏(DRAW FIT)은 핏과 착용감을 중요하게 여기며 컨템포러리&모던 룩을 지향하는 브랜드입니다. 뛰어난 퀄리티의 좋은 소재를 다양하게 구성해 바느질까지 세심하게 신경 써서 완성하고 고유의 핏과 무드를 머금은 웨어러블한 디자인의 아이템을 합리적인 가격으로 소개합니다.,1396
코드그라피,CODEGRAPHY,https://image.msscdn.net/mfile_s01/_brand/free_medium/codegraphy.png?202402291626,SINCE 2020,한국,코드그라피(CODEGRAPHY)는 다양한 문화에 녹아있는 핵심적인 코드(code)들을 재해석해 시각화(graphy)하는 브랜드입니다.,761
세터,SATUR,https://image.msscdn.net/mfile_s01/_brand/free_medium/satur.png?202403081609,SINCE 2020,한국,세터(SATUR)는 '토요일을 선물하세요'라는 슬로건을 바탕으로 2020년 서울에서 시작된 브랜드입니다. 토요일의 여유롭고 평화로운 감성을 토대로 한 리조트 컨템포러리 룩을 제안합니다.,678
디미트리블랙,DIMITRIBLACK,https://image.msscdn.net/mfile_s01/_brand/free_medium/dimitriblack.png?202403131705,SINCE 2016,한국,"디미트리블랙(DIMITRI BLACK)은 브루탈리즘한 느낌을 기반으로 다양한 문화적 요소를 현대적으로 재해석하고자 합니다. 미니멀, 밀리터리, 아웃도어 등을 기반으로 포멀 캐주얼을 아우르는 편안함과 실용적인 디테일 요소를 결합하여 컬렉션을 전개합니다.",484
에스피오나지,ESPIONAGE,https://image.msscdn.net/mfile_s01/_brand/free_medium/espionage.png?202402281230,SINCE 2011,한국,"에스피오나지(ESPIONAGE)는 '밖을 보다' '숨겨져 있는 것을 발견한다'는 의미의 고대 프랑스어 ESPIRE에서 유래한 말로 지금은 타국의 비밀 정보를 수집하는 첩보 활동을 뜻하기도 합니다. 첩보 활동의 의미가 적진에서 은밀히 적들의 정보를 빼오는 것을 말하는 것처럼 에스피오나지가 만드는 아이템에는 숨겨져 있는 것을 찾아내는 과정을 포함하고 있습니다. 클래식, 밀리터리, 아웃도어 등 이미 만들어져 있는 의복을 베이스로 우리가 중요하게 생각하는 원단과 부자재, 기술, 핏 등의 요소들을 정확하게 탐구하고 수집해 조합, 재정의 혹은 재해석된 결과물을 만들고자 합니다. 사전적인 의미의 에스피오나지가 가지는 부정적인 첩보 활동의 이미지가 아닌 첩보 활동의 과정, 즉 본질에 대한 탐구와 조사 활동이라는 긍정적인 느낌을 전달하려 하며 수집된 정보를 하나의 작업물로 만들어내는 일련의 과정과 그렇게 완성한 에스피오나지의 아이템을 통해 다시 만드는 과정을 다시 유추하려는 생각들 모두 에스피오나지입니다.",2649
도프제이슨,DOFFJASON,https://image.msscdn.net/mfile_s01/_brand/free_medium/doffjason.png?202402151447,SINCE 2016,한국,"도프제이슨(DOFFJASON)은 가죽이라는 소재에 대한 이해를 기반으로 레더 가먼츠를 중심으로 디자인하는 브랜드입니다. 스타일에 구애받지 않고 오래 입을수록 가치를 더하는 타임리스 디자인을 추구하고, 절제된 디테일과 뛰어난 퀄리티의 아이템을 선보입니다.",330
