Brand,Logo,Since,Country,Info
MUSINSASTANDARD,https://image.msscdn.net/mfile_s01/_brand/free_medium/musinsastandard.png?202403121141,SINCE 2017,한국,"무신사 스탠다드(MUSINSA STANDARD)는 대한민국을 대표하는 온라인 패션 스토어 무신사가 전개하는 자체상표(Private Brand)이며, 모던 베이식 캐주얼웨어를 지향합니다. 단순한 유통구조의 효율적인 운영으로 좋은 품질의 제품을 합리적인 가격에 선보입니다. 가치소비 시대의 새로운 기준을 제시합니다."
ASICS,https://image.msscdn.net/mfile_s01/_brand/free_medium/asics.png?202402211039,SINCE 1949,일본,"ASICS(아식스)는 1949년 ""스포츠를 통해서 아이들의 건전한 육성에 보탬이 되겠다.""라는 이념으로 설립되었습니다. ASICS (아식스) 브랜드명은 라틴어 “건강한 정신은 건강한 육체에서(Anima Sana In Corpore Sano)”의 알파벳 앞 글자에서 가져왔으며, 전 세계적으로 사랑받고 있는 글로벌 스포츠 브랜드입니다."
ADIDAS,https://image.msscdn.net/mfile_s01/_brand/free_medium/adidas.png?202403061650,SINCE 1949,독일,"스포츠 라이프스타일은 라커룸 밖에서도 계속됩니다. 1920년부터 독일의 헤르초게나우라흐에서 스포츠 슈즈를 만들던 아디다스(ADIDAS)는 이러한 철학을 토대로 경기장에서부터 거리에 이르기까지 모두가 즐길 수 있는 '스포츠 라이프스타일'의 개념을 처음으로 도입한 브랜드입니다. 스포츠 영역의 다양한 요소를 일상의 영역으로 가져오는 아디다스는 이를 통해 전 세계의 트렌드를 주도하고 있으며, 지금도 여전히 자신의 다양한 모습을 보여주고 싶어하는 소비자와 직접 소통하며 함께 혁신적인 트렌드를 만들고 있습니다."
LMOOD,https://image.msscdn.net/mfile_s01/_brand/free_medium/lmood.png?202402131034,SINCE 2016,한국,엘무드(LMOOD)는 미니멀과 컴포트를 중점으로 이 시대 트렌드를 반영한 컨템포러리 감성 브랜드입니다.
LAFUDGESTORE,https://image.msscdn.net/mfile_s01/_brand/free_medium/lafudgestore.png?202402291348,SINCE 2017,한국,"라퍼지스토어(LAFUDGESTORE)는 다양한 사람들이 일상에서 편안하게 사용할 수 있는 제품을 전개합니다. 새롭게 변화되는 소재와 실루엣, 일상에 자연스레 스며드는 제품을 제작하여 지속적인 실속형 소비의 가치를 실천합니다."
TOFFEE,https://image.msscdn.net/mfile_s01/_brand/free_medium/toffee.png?202402131031,SINCE 2015,한국,토피(TOFFEE)는 트렌디한 스타일의 아이템을 절제된 디테일과 다양한 컬러로 표현하며 합리적인 가격으로 선보이는 브랜드입니다.
TRILLION,https://image.msscdn.net/mfile_s01/_brand/free_medium/trillion.png?202403060901,SINCE 2017,한국,"트릴리온(TRILLION)은 클래식, 빈티지, 아웃도어, 어반 등의 스타일을 베이스로 트릴리온만의 컨템포러리 감성을 더해 높은 퀄리티의 제품을 합리적인 가격에 제시합니다. 단 하나의 제품에도 만족감을 느낄 수 있는 가치를 추구합니다."
DRAWFIT,https://image.msscdn.net/mfile_s01/_brand/free_medium/drawfit.png?202402131031,SINCE 2014,한국,드로우핏(DRAW FIT)은 핏과 착용감을 중요하게 여기며 컨템포러리&모던 룩을 지향하는 브랜드입니다. 뛰어난 퀄리티의 좋은 소재를 다양하게 구성해 바느질까지 세심하게 신경 써서 완성하고 고유의 핏과 무드를 머금은 웨어러블한 디자인의 아이템을 합리적인 가격으로 소개합니다.
CODEGRAPHY,https://image.msscdn.net/mfile_s01/_brand/free_medium/codegraphy.png?202402291626,SINCE 2020,한국,코드그라피(CODEGRAPHY)는 다양한 문화에 녹아있는 핵심적인 코드(code)들을 재해석해 시각화(graphy)하는 브랜드입니다.
YALE,https://image.msscdn.net/mfile_s01/_brand/free_medium/yale.png?202402281135,SINCE 1701,미국,"예일(YALE)은 1900년대부터 아이비리그 스포츠를 대표하는 미국의 명문대학교입니다. 예일 대학교와 예일 불독스(예일의 대표 스포츠팀)는 스포츠 브랜드와 스폰서십을 체결하며, 스포츠 웨어와 빈티지 웨어로써도 널리 알려져 있습니다. 특히 미국과 일본, 대만에서는 아이비리그 패션이 일반화되어 입기 편안한 스웨트나 스포츠 웨어에서도 종종 예일을 발견할 수 있습니다. 한국에서는 이런 스포츠 웨어와 더불어 북클럽(BOOKCLUB) 커뮤니티를 운영하고 있으며, 예일을 입는 모든 사람들이 자아실현을 이루고 더욱 건강한 삶을 살 수 있도록 지원하고 있습니다. 예일 시그니처 브랜드의 비전으로 책을 사랑하는 사람들이 한데 모여 책과 지혜를 향유할 수 있는 북스토어(BOOKSTORE)를 만들어 공동체를 형성하고 있습니다."
